,ad_id,link,county_number,county,location1,location2,apartment_type,sqft(m2),sqft_net(m2),number_of_rooms,balcony_type,number_of_floors,floor_number,floors_in_building,year_of_construction,year_of_renovation,parking_spots,energy_class,price(€),post_date
0,38904191,https://www.njuskalo.hr/nekretnine/odlicna-lokacija-dvosoban-stan-centar-varazdin-63.66-m2-oglas-38904191,5.0,Varaždinska,Varaždin,Centar,1,63.66,,2.0,,1.0,2.,9,,,,A+,133686.0,2024-06-11
1,38928077,https://www.njuskalo.hr/nekretnine/odlicna-lokacija-dvosoban-stan-centar-varazdin-72.01-m2-oglas-38928077,5.0,Varaždinska,Varaždin,Centar,1,71.66,,2.0,,1.0,3.,9,,,,A+,164818.0,2024-06-11
2,38928275,https://www.njuskalo.hr/nekretnine/odlicna-lokacija-cetverosoban-stan-centar-varazdin-87.61-m2-oglas-38928275,5.0,Varaždinska,Varaždin,Centar,1,87.5,,4.0,,1.0,4.,9,,,,A+,201250.0,2024-06-11
3,38928333,https://www.njuskalo.hr/nekretnine/odlicna-lokacija-dvosoban-stan-centar-varazdin-72.01-m2-oglas-38928333,5.0,Varaždinska,Varaždin,Centar,1,71.66,,2.0,,1.0,4.,9,,,,A+,171984.0,2024-06-11
4,38928387,https://www.njuskalo.hr/nekretnine/odlicna-lokacija-dvosoban-stan-centar-varazdin-65.21-m2-oglas-38928387,5.0,Varaždinska,Varaždin,Centar,1,64.42,,2.0,,1.0,4.,9,,,,A+,154608.0,2024-06-11
5,38904130,https://www.njuskalo.hr/nekretnine/odlicna-lokacija-trosoban-stan-centar-varazdin-77.09-m2-oglas-38904130,5.0,Varaždinska,Varaždin,Centar,1,76.89,,3.0,,1.0,2.,9,,,,A+,176847.0,2024-06-11
6,38928400,https://www.njuskalo.hr/nekretnine/odlicna-lokacija-trosoban-stan-centar-varazdin-77.09-m2-oglas-38928400,5.0,Varaždinska,Varaždin,Centar,1,76.89,,3.0,,1.0,4.,9,,,,A+,184536.0,2024-06-11
7,38946904,https://www.njuskalo.hr/nekretnine/odlicna-lokacija-dvosoban-stan-centar-varazdin-66.54-m2-oglas-38946904,5.0,Varaždinska,Varaždin,Centar,1,66.54,,2.0,,1.0,5.,9,,,,A+,159696.0,2024-06-11
8,38952740,https://www.njuskalo.hr/nekretnine/odlicna-lokacija-dvosoban-stan-centar-varazdin-66.25-m2-oglas-38952740,5.0,Varaždinska,Varaždin,Centar,1,66.25,,2.0,,1.0,6.,9,,,,A+,165625.0,2024-06-11
9,38983630,https://www.njuskalo.hr/nekretnine/odlicna-lokacija-trosoban-stan-centar-varazdin-89.83-m2-oglas-38983630,5.0,Varaždinska,Varaždin,Centar,1,89.83,,3.0,,1.0,7.,9,,,,A+,224575.0,2024-06-11
