,ad_id,link,county_number,county,location1,location2,apartment_type,sqft(m2),sqft_net(m2),number_of_rooms,balcony_type,number_of_floors,floor_number,floors_in_building,year_of_construction,year_of_renovation,parking_spots,energy_class,price(€),post_date
0,40118664,https://www.njuskalo.hr/nekretnine/ponudi-izuzetna-veliki-potencijal-centru-splita-oglas-40118664,17,Splitsko-dalmatinska,Split,Manuš,1,101.0,,3.0,,1.0,4.,4,,,,,390000.0,2024-06-20
1,42755416,https://www.njuskalo.hr/nekretnine/bacvice-stan-70m2-terasa-20m2-jug-renoviran-oglas-42755416,17,Splitsko-dalmatinska,Split,Bačvice,1,70.0,90.0,2.0,Terasa,1.0,1.,3,,,,,459000.0,2024-06-20
2,43916328,https://www.njuskalo.hr/nekretnine/tri-kompletno-uredene-sobe-uhodani-turisticki-posao-oglas-43916328,17,Splitsko-dalmatinska,Split,Spinut,1,66.5,,3.0,Terasa,1.0,Suteren,,,,,,268000.0,2024-06-20
3,41277262,https://www.njuskalo.hr/nekretnine/komforan-trosoban-stan-db-2-sanitarna-cvora-94m2-sucidar-oglas-41277262,17,Splitsko-dalmatinska,Split,Sućidar,1,94.0,,3.0,"Balkon, Lođa (Loggia)",1.0,,5,1978.0,,,,310000.0,2024-06-20
4,41521533,https://www.njuskalo.hr/nekretnine/luksuzan-stan-pogledom-more-morska-vila-oglas-41521533,17,Splitsko-dalmatinska,Split,Žnjan,1,75.0,,2.0,Terasa,1.0,,,,2023.0,3,A+,1.0,2024-06-20
5,42056479,https://www.njuskalo.hr/nekretnine/dvosobni-komforni-stan-72m2-parking-mjestom-kman-oglas-42056479,17,Splitsko-dalmatinska,Split,Kman,1,72.0,,2.0,"Balkon, Lođa (Loggia)",1.0,3.,4,1973.0,2002.0,1,,240000.0,2024-06-20
6,42806616,https://www.njuskalo.hr/nekretnine/dvosobni-stan-72m2-dvije-lode-jug-pogled-more-blizu-kampusa-oglas-42806616,17,Splitsko-dalmatinska,Split,Sućidar,1,72.0,,2.0,Lođa (Loggia),1.0,6.,12,1979.0,,,,259000.0,2024-06-20
7,43201471,https://www.njuskalo.hr/nekretnine/trosoban-stan-db-78m2-parking-jug-lucac-oglas-43201471,17,Splitsko-dalmatinska,Split,Lučac,1,78.0,,3.0,Lođa (Loggia),1.0,Prizemlje,4,,,1,,296000.0,2024-06-20
8,43526434,https://www.njuskalo.hr/nekretnine/bol-blizina-fine-funkcional-trosobni-stan-oglas-43526434,17,Splitsko-dalmatinska,Split,Bol,1,76.0,78.0,3.0,Balkon,1.0,3.,5,1970.0,,,,385000.0,2024-06-20
9,43903197,https://www.njuskalo.hr/nekretnine/ekskluzivna-prodaja-luksuzan-trosoban-stan-110m2-ciovo-seget-gornji-oglas-43903197,17,Splitsko-dalmatinska,Okrug,Okrug Gornji,1,110.0,93.0,3.0,Terasa,1.0,2.,,,,2,,399000.0,2024-06-20
10,41653431,https://www.njuskalo.hr/nekretnine/lijep-penthouse-100m2-velikom-terasom-oglas-41653431,17,Splitsko-dalmatinska,Split,Dragovode,1,100.0,,2.0,"Lođa (Loggia), Terasa",1.0,3.,3,,,1,,420000.0,2024-06-20
11,44058020,https://www.njuskalo.hr/nekretnine/rovinj-stan-1-katu-pogledom-more-oglas-44058020,18,Istarska,Rovinj,Rovinj,1,200.0,,4.0,Terasa,1.0,1.,2,2024.0,,2,,1300000.0,2024-06-20
12,44049648,https://www.njuskalo.hr/nekretnine/prekrasan-penthouse-rovinju-pjesacka-udaljenost-mora-oglas-44049648,18,Istarska,Rovinj,Rovinj,1,173.0,,4.0,"Balkon, Terasa",3.0,1.,2,2023.0,,2,,750000.0,2024-06-20
13,41718990,https://www.njuskalo.hr/nekretnine/zadar-diklo-luksuzni-penthouse-pogledom-more-145m2-novogradnja-oglas-41718990,13,Zadarska,Zadar,Diklovac,1,148.42,,3.0,"Lođa (Loggia), Terasa",2.0,2.,2,2024.0,,2,A+,612000.0,2024-06-20
14,41392166,https://www.njuskalo.hr/nekretnine/stan-pula-144.00-m2-novogradnja-oglas-41392166,18,Istarska,Pula,Centar,1,144.0,,5.0,"Balkon, Terasa",1.0,3.,3,2021.0,,1,,390000.0,2024-06-20
15,43200969,https://www.njuskalo.hr/nekretnine/stan-zagreb-sesvetski-kraljevec-56.27-m2-novogradnja-oglas-43200969,21,Grad Zagreb,Sesvete,Sesvetski Kraljevec,1,56.27,,2.0,Terasa,1.0,Visoko prizemlje,,2023.0,,,A,145739.3,2024-06-20
16,43694678,https://www.njuskalo.hr/nekretnine/stan-pula-44.00-m2-oglas-43694678,18,Istarska,Pula,Monvidal,1,44.7,,2.0,Lođa (Loggia),1.0,,,,,,,112000.0,2024-06-20
17,43100086,https://www.njuskalo.hr/nekretnine/komforan-stan-blizini-centra-oglas-43100086,18,Istarska,Pula,Monte Zaro,1,80.0,,3.0,"Balkon, Terasa",1.0,3.,3,,,,,170000.0,2024-06-20
