web-scraper-order,web-scraper-start-url,link,ad_id,location,apartment_type,number_of_floors,number_of_rooms,floor_number,floors_in _building,year_of_construction,year_of_renovation,parking_spots,balcony_type,sqft,sqft_net,energy_class,price,post_date
"1718749217-1","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-2","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-3","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-4","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-5","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-6","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-7","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-8","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-9","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-10","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-11","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-12","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-13","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-14","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-15","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-16","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-17","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-18","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-19","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-20","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-21","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-22","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-23","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
"1718749217-24","https://www.njuskalo.hr/prodaja-stanova","","","","","","","","","","","","","","","","",""
